plan_id,seed,split_level,K,distance,delta_frac,lost_route_idx,lost_route_len,lost_route_cost,lost_workload,fully_absorbable,extra_units,max_absorbed_customers,absorbed_customer_frac,max_absorbed_workload,absorbed_workload_frac,min_full_absorption_delta,feasible_block_insertions,lost_route
4,1,1,7,1248053.0,0.05,6,1,18444.0,2.4,1,0,1,1.0,2.4,1.0,0.0,2,72
4,1,1,7,1248053.0,0.1,0,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,34.0,1,89
4,1,1,7,1248053.0,0.1,1,18,191848.0,225.4,0,1,1,0.05555555555555555,5.8999999999999995,0.026175687666370892,,4,93 78 31 58 28 94 4 38 5 19 70 11 23 39 79 57 73 63
4,1,1,7,1248053.0,0.1,2,21,135173.0,228.5,0,1,2,0.09523809523809523,8.0,0.0350109409190372,,6,13 20 49 61 21 15 91 33 90 50 85 59 80 86 6 83 53 22 96 67 62
4,1,1,7,1248053.0,0.1,3,17,295643.0,210.8,0,1,1,0.058823529411764705,4.2,0.019924098671726755,,2,25 9 55 14 54 76 92 40 42 65 52 3 60 26 68 37 18
4,1,1,7,1248053.0,0.1,4,20,201528.0,235.89999999999998,0,1,2,0.1,6.2,0.026282323018228065,,7,2 17 43 35 98 81 16 7 69 41 99 95 44 97 30 84 88 27 45 36
4,1,1,7,1248053.0,0.1,5,22,393145.0,225.00000000000003,0,1,0,0.0,0.0,0.0,,0,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46
4,1,1,7,1248053.0,0.1,6,1,18444.0,2.4,1,0,1,1.0,2.4,1.0,0.0,2,72
4,1,1,7,1248053.0,0.2,0,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,34.0,1,89
4,1,1,7,1248053.0,0.2,1,18,191848.0,225.4,0,1,1,0.05555555555555555,5.8999999999999995,0.026175687666370892,,6,93 78 31 58 28 94 4 38 5 19 70 11 23 39 79 57 73 63
4,1,1,7,1248053.0,0.2,2,21,135173.0,228.5,0,1,2,0.09523809523809523,8.0,0.0350109409190372,,6,13 20 49 61 21 15 91 33 90 50 85 59 80 86 6 83 53 22 96 67 62
4,1,1,7,1248053.0,0.2,3,17,295643.0,210.8,0,1,1,0.058823529411764705,4.2,0.019924098671726755,,2,25 9 55 14 54 76 92 40 42 65 52 3 60 26 68 37 18
4,1,1,7,1248053.0,0.2,4,20,201528.0,235.89999999999998,0,1,2,0.1,6.2,0.026282323018228065,,7,2 17 43 35 98 81 16 7 69 41 99 95 44 97 30 84 88 27 45 36
4,1,1,7,1248053.0,0.2,5,22,393145.0,225.00000000000003,0,1,0,0.0,0.0,0.0,,0,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46
4,1,1,7,1248053.0,0.2,6,1,18444.0,2.4,1,0,1,1.0,2.4,1.0,0.0,2,72
4,1,1,7,1248053.0,0.4,0,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,34.0,1,89
4,1,1,7,1248053.0,0.4,1,18,191848.0,225.4,0,1,1,0.05555555555555555,5.8999999999999995,0.026175687666370892,,6,93 78 31 58 28 94 4 38 5 19 70 11 23 39 79 57 73 63
4,1,1,7,1248053.0,0.4,2,21,135173.0,228.5,0,1,2,0.09523809523809523,8.0,0.0350109409190372,,6,13 20 49 61 21 15 91 33 90 50 85 59 80 86 6 83 53 22 96 67 62
4,1,1,7,1248053.0,0.4,3,17,295643.0,210.8,0,1,1,0.058823529411764705,5.699999999999999,0.02703984819734345,,3,25 9 55 14 54 76 92 40 42 65 52 3 60 26 68 37 18
4,1,1,7,1248053.0,0.4,4,20,201528.0,235.89999999999998,0,1,2,0.1,6.2,0.026282323018228065,,7,2 17 43 35 98 81 16 7 69 41 99 95 44 97 30 84 88 27 45 36
4,1,1,7,1248053.0,0.4,5,22,393145.0,225.00000000000003,0,1,0,0.0,0.0,0.0,,0,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46
4,1,1,7,1248053.0,0.4,6,1,18444.0,2.4,1,0,1,1.0,2.4,1.0,0.0,2,72
5,1,2,8,1253171.0,0.05,0,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,2068.0,1,89
5,1,2,8,1253171.0,0.05,1,18,191848.0,225.4,0,1,1,0.05555555555555555,3.0,0.013309671694764862,,1,93 78 31 58 28 94 4 38 5 19 70 11 23 39 79 57 73 63
5,1,2,8,1253171.0,0.05,2,19,124453.0,207.60000000000002,0,1,2,0.10526315789473684,4.9,0.023603082851637765,,4,13 20 49 15 91 33 90 50 85 59 80 86 6 83 53 22 96 67 62
5,1,2,8,1253171.0,0.05,3,17,295643.0,210.8,0,1,3,0.17647058823529413,16.2,0.07685009487666034,,4,25 9 55 14 54 76 92 40 42 65 52 3 60 26 68 37 18
5,1,2,8,1253171.0,0.05,4,1,13564.0,15.4,0,1,0,0.0,0.0,0.0,,0,2
5,1,2,8,1253171.0,0.05,5,20,199722.0,230.5,0,1,3,0.15,16.2,0.0702819956616052,,7,17 43 35 98 81 16 7 69 41 99 95 44 97 30 84 88 27 45 36 21
5,1,2,8,1253171.0,0.05,6,1,22524.0,10.9,1,0,1,1.0,10.9,1.0,5007.0,1,61
5,1,2,8,1253171.0,0.05,7,23,393145.0,227.40000000000003,0,1,2,0.08695652173913043,8.3,0.03649956024626209,,4,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 51 34 100 48 1 56 46 72
