Dataset,Instance,scenario,monitor,n_days,false_rate,detect_rate,mean_delay
Dethloff,CON3-1,traffic_ramp,ecusum_match,15,0.0,1.0,7.4
Dethloff,CON3-1,traffic_ramp,bonferroni,15,0.0,1.0,14.0
Dethloff,CON3-1,traffic_ramp,periodic,15,0.0,1.0,34.0
Dethloff,CON3-1,traffic_ramp,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,demand_ramp,tempo2,15,0.0,0.8666666666666667,39.30769230769231
Dethloff,CON3-1,demand_ramp,tempo_flat,15,0.0,0.2,21.333333333333332
Dethloff,CON3-1,demand_ramp,cusum_cal,15,0.0,0.8666666666666667,41.53846153846154
Dethloff,CON3-1,demand_ramp,cusum_match,15,0.0,0.5333333333333333,60.625
Dethloff,CON3-1,demand_ramp,ph_match,15,0.0,0.2,66.33333333333333
Dethloff,CON3-1,demand_ramp,esr_match,15,0.0,0.6,25.22222222222222
Dethloff,CON3-1,demand_ramp,ecusum_match,15,0.0,0.6,26.666666666666668
Dethloff,CON3-1,demand_ramp,bonferroni,15,0.0,0.9333333333333333,31.0
Dethloff,CON3-1,demand_ramp,periodic,15,0.0,1.0,31.0
Dethloff,CON3-1,demand_ramp,rolling_opt,15,1.0,0.0,
Dethloff,CON3-1,traffic_transient,tempo2,15,0.0,0.0,
Dethloff,CON3-1,traffic_transient,tempo_flat,15,0.0,0.0,
Dethloff,CON3-1,traffic_transient,cusum_cal,15,0.13333333333333333,0.0,
Dethloff,CON3-1,traffic_transient,cusum_match,15,0.0,0.0,
Dethloff,CON3-1,traffic_transient,ph_match,15,0.0,0.0,
Dethloff,CON3-1,traffic_transient,esr_match,15,0.0,0.0,
Dethloff,CON3-1,traffic_transient,ecusum_match,15,0.0,0.0,
Dethloff,CON3-1,traffic_transient,bonferroni,15,0.0,0.0,
Dethloff,CON3-1,traffic_transient,periodic,15,1.0,0.0,
Dethloff,CON3-1,traffic_transient,rolling_opt,15,1.0,0.0,
